model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 i8,2019,67500,Automatic,6000,Hybrid,140,141.2,1.5,bmw
 Focus,2019,21972,Manual,1011,Petrol,145,60.1,1.0,ford
 Fiesta,2015,6125,Manual,55363,Petrol,30,54.3,1.2,ford
 A8,2019,44950,Automatic,8076,Petrol,145,28.8,3.0,audi
 X1,2016,17498,Manual,19060,Diesel,125,58.9,2.0,bmw
 A1,2015,10598,Manual,21438,Petrol,125,52.3,1.4,audi
 GLE Class,2017,29931,Semi-Auto,18263,Diesel,200,47.9,2.1,merc
 Karoq,2019,16495,Manual,2304,Petrol,150,48.7,1.5,skoda
 EcoSport,2018,14995,Automatic,1000,Petrol,145,48.7,1.0,ford
 Fiesta,2018,10795,Manual,41008,Petrol,145,56.5,1.0,ford
 Fiesta,2018,9990,Manual,42910,Petrol,145,56.5,1.0,ford
 A3,2018,22285,Automatic,6754,Diesel,145,52.3,1.6,audi
 S Class,2018,49980,Automatic,17587,Petrol,145,40.9,3.0,merc
 B Class,2019,23900,Automatic,2502,Petrol,145,44.8,1.3,merc
 GLC Class,2016,20750,Automatic,30848,Diesel,125,56.5,2.1,merc
 Auris,2017,17495,Automatic,21960,Hybrid,0,70.6,1.8,toyota
 Fabia,2017,7995,Manual,25426,Petrol,20,60.1,1.2,skoda
 Superb,2016,14100,Automatic,33129,Diesel,20,70.6,1.6,skoda
 Kodiaq,2017,21750,Automatic,22083,Diesel,145,49.6,2.0,skoda
 I10,2018,8994,Manual,19087,Petrol,145,60.1,1.0,hyundi
 5 Series,2016,13900,Automatic,60187,Diesel,30,62.8,2.0,bmw
 EcoSport,2018,14995,Semi-Auto,14902,Petrol,145,45.6,1.0,ford
 C Class,2018,29499,Automatic,1988,Petrol,145,44.1,2.0,merc
 Octavia,2017,12999,Automatic,30804,Petrol,145,57.7,1.4,skoda
 Yaris,2017,13499,Automatic,10922,Hybrid,0,78.0,1.5,toyota
 C-HR,2019,18600,Manual,12644,Petrol,145,41.5,1.2,toyota
 Corolla,2019,24000,Automatic,6415,Hybrid,135,72.4,2.0,toyota
 Yeti,2016,11100,Manual,36817,Diesel,30,62.8,2.0,skoda
 Santa Fe,2013,15739,Semi-Auto,25976,Diesel,260,41.5,2.2,hyundi
 Kodiaq,2019,23995,Automatic,150,Petrol,145,37.7,1.5,skoda
 Focus,2017,18698,Manual,14087,Petrol,200,41.5,2.0,ford
 Focus,2014,8500,Manual,44654,Diesel,0,74.3,1.5,ford
 GLE Class,2016,29995,Automatic,27700,Diesel,200,47.9,2.1,merc
 Q2,2019,30755,Semi-Auto,6257,Petrol,145,33.2,2.0,audi
 Aygo,2017,7949,Manual,14601,Petrol,145,68.9,1.0,toyota
 A Class,2015,20749,Automatic,43509,Petrol,205,40.9,2.0,merc
 E Class,2019,31490,Semi-Auto,3948,Diesel,145,45.6,2.0,merc
 Fabia,2017,8298,Manual,46334,Diesel,150,78.5,1.4,skoda
 5 Series,2015,12500,Automatic,106170,Diesel,160,51.4,3.0,bmw
 4 Series,2015,21149,Semi-Auto,29627,Diesel,160,49.6,3.0,bmw
 5 Series,2019,28999,Automatic,13000,Petrol,145,47.9,2.0,bmw
 Yaris,2018,8998,Manual,17120,Petrol,145,58.9,1.5,toyota
 Yaris,2017,12000,Automatic,11299,Hybrid,0,86.0,1.5,toyota
 Superb,2016,12500,Semi-Auto,50000,Diesel,30,62.8,2.0,skoda
 X5,2013,21000,Automatic,52000,Diesel,200,45.6,3.0,bmw
 Aygo,2018,7991,Manual,31129,Petrol,145,56.5,1.0,toyota
 Focus,2016,8760,Manual,38113,Petrol,20,61.4,1.0,ford
 Fiesta,2015,6498,Manual,39167,Petrol,0,65.7,1.0,ford
 Aygo,2015,5150,Manual,44651,Petrol,0,69.0,1.0,toyota
 A3,2016,15200,Manual,33638,Diesel,20,65.7,2.0,audi
 I10,2015,5990,Manual,26541,Petrol,30,57.6,1.2,hyundi
 I10,2017,6297,Manual,20132,Petrol,145,60.1,1.0,hyundi
 RS3,2017,31888,Automatic,38000,Petrol,150,34.0,2.5,audi
 KA,2014,5500,Manual,25766,Petrol,30,57.7,1.2,ford
 I30,2015,6699,Manual,37000,Diesel,0,78.4,1.6,hyundi
 Aygo,2017,6999,Manual,12590,Petrol,0,69.0,1.0,toyota
 1 Series,2018,15785,Semi-Auto,7229,Petrol,145,58.9,1.5,bmw
 A Class,2019,34799,Semi-Auto,3778,Petrol,150,35.3,2.0,merc
 3 Series,2016,16529,Automatic,63679,Hybrid,0,134.5,2.0,bmw
 1 Series,2017,16185,Automatic,37834,Diesel,145,67.3,2.0,bmw
 RAV4,2016,17990,Automatic,72865,Hybrid,20,55.4,2.5,toyota
 GLE Class,2018,36990,Semi-Auto,16000,Diesel,145,39.2,3.0,merc
 Q8,2019,85900,Semi-Auto,3401,Diesel,150,30.7,4.0,audi
 Fiesta,2020,15000,Manual,250,Petrol,150,56.5,1.0,ford
 Aygo,2014,6000,Manual,25568,Petrol,0,69.0,1.0,toyota
 E Class,2013,13798,Automatic,45000,Diesel,125,57.7,2.1,merc
 GLA Class,2018,16950,Manual,29334,Diesel,145,67.3,2.1,merc
 Octavia,2019,20749,Manual,522,Petrol,145,36.7,2.0,skoda
 C Class,2019,26995,Semi-Auto,9,Diesel,145,60.1,1.6,merc
 Fiesta,2018,9750,Manual,15789,Petrol,145,64.2,1.1,ford
 B-MAX,2014,5998,Manual,52565,Petrol,30,55.4,1.0,ford
 S-MAX,2017,17950,Manual,28280,Petrol,145,43.5,1.5,ford
 A1,2016,19950,Manual,24019,Petrol,200,40.4,2.0,audi
 Yaris,2017,10570,Manual,8963,Petrol,30,55.0,1.3,toyota
 Focus,2017,12700,Semi-Auto,16088,Petrol,150,51.4,1.0,ford
 B-MAX,2013,5495,Semi-Auto,56950,Petrol,160,44.1,1.6,ford
 Aygo,2016,6490,Manual,14850,Petrol,0,69.0,1.0,toyota
 EcoSport,2018,13500,Manual,12065,Petrol,145,54.3,1.0,ford
 SL CLASS,2016,18690,Semi-Auto,22112,Diesel,30,70.6,2.1,merc
 Focus,2017,15499,Semi-Auto,29984,Diesel,30,61.4,2.0,ford
 A4,2016,16050,Semi-Auto,46899,Diesel,30,62.8,2.0,audi
 I10,2016,8250,Manual,7600,Petrol,30,57.6,1.2,hyundi
 Yaris,2017,11295,Automatic,3187,Petrol,30,58.0,1.3,toyota
 3 Series,2019,27440,Semi-Auto,15639,Diesel,145,52.3,2.0,bmw
 X5,2019,47193,Semi-Auto,6776,Diesel,145,37.7,3.0,bmw
 Focus,2014,7820,Manual,39000,Diesel,0,74.3,1.5,ford
 Octavia,2019,13995,Manual,11840,Petrol,145,55.4,1.5,skoda
 X-CLASS,2017,31994,Automatic,24800,Diesel,260,35.8,2.3,merc
 Q5,2020,40945,Semi-Auto,3000,Diesel,145,38.2,2.0,audi
 A Class,2019,23980,Semi-Auto,16,Diesel,145,65.7,1.5,merc
 5 Series,2016,31990,Automatic,37000,Petrol,555,28.5,4.4,bmw
 Kuga,2019,19500,Manual,19026,Diesel,145,47.9,2.0,ford
 X1,2016,18148,Semi-Auto,25401,Diesel,125,57.6,2.0,bmw
 I20,2017,8995,Manual,5937,Petrol,145,62.8,1.0,hyundi
 Aygo,2014,5390,Manual,61347,Petrol,0,69.0,1.0,toyota
 Q3,2020,30990,Manual,1500,Petrol,145,40.9,0.0,audi
 C Class,2015,10995,Semi-Auto,58734,Diesel,150,53.3,2.1,merc
 4 Series,2016,18498,Semi-Auto,36435,Diesel,165,52.3,3.0,bmw
 Santa Fe,2019,33495,Semi-Auto,6209,Diesel,145,39.2,2.2,hyundi
 4 Series,2018,21990,Semi-Auto,24118,Diesel,150,65.7,2.0,bmw
 E Class,2016,21995,Semi-Auto,40100,Petrol,165,43.5,2.0,merc
 B Class,2019,24987,Automatic,7676,Diesel,145,55.4,2.0,merc
 X3,2016,19300,Manual,29281,Diesel,165,52.3,2.0,bmw
 A1,2016,11750,Manual,17248,Petrol,30,55.4,1.4,audi
 GLE Class,2020,48980,Semi-Auto,3999,Diesel,145,36.7,2.0,merc
 B Class,2019,20000,Semi-Auto,11312,Petrol,145,45.6,1.3,merc
 1 Series,2015,12800,Manual,37391,Diesel,30,65.7,2.0,bmw
 Q2,2019,22800,Manual,3902,Petrol,145,43.5,1.5,audi
 Octavia,2018,12690,Manual,37130,Petrol,150,56.5,1.5,skoda
 Fiesta,2017,10491,Manual,13326,Petrol,145,65.7,1.0,ford
 GLC Class,2018,28452,Semi-Auto,26993,Diesel,145,56.5,2.1,merc
 Avensis,2018,12000,Manual,25883,Diesel,145,67.3,1.6,toyota
 3 Series,2018,24280,Semi-Auto,20606,Petrol,150,46.3,2.0,bmw
 Fiesta,2018,11500,Manual,9487,Petrol,150,65.7,1.0,ford
 R Class,2011,11999,Automatic,75857,Diesel,325,33.2,3.0,merc
 E Class,2017,24799,Automatic,7501,Diesel,145,57.7,2.0,merc
 Fiesta,2019,15950,Manual,2331,Petrol,145,55.4,1.0,ford
 Yaris,2018,11095,Manual,11700,Petrol,145,47.1,1.5,toyota
 Karoq,2019,18685,Manual,2186,Diesel,145,50.4,2.0,skoda
 GLC Class,2019,52555,Semi-Auto,2501,Petrol,145,26.4,3.0,merc
 Focus,2018,13750,Manual,7565,Diesel,145,74.3,1.5,ford
 Aygo,2019,10295,Semi-Auto,32943,Petrol,150,55.4,1.0,toyota
 Q3,2017,17991,Manual,18909,Petrol,150,51.4,1.4,audi
 5 Series,2017,22990,Semi-Auto,33492,Diesel,145,60.1,2.0,bmw
 Focus,2019,18499,Manual,8000,Petrol,145,60.1,1.0,ford
 C Class,2015,17450,Automatic,42377,Hybrid,0,76.4,2.1,merc
 Octavia,2017,11995,Semi-Auto,22965,Petrol,145,57.7,1.4,skoda
 Fiesta,2014,9800,Manual,34670,Petrol,150,47.9,1.6,ford
 Kuga,2018,17795,Manual,17530,Diesel,145,60.1,2.0,ford
 E Class,2019,26199,Semi-Auto,2000,Diesel,145,72.4,2.0,merc
 Q3,2020,34750,Semi-Auto,2500,Petrol,145,31.4,2.0,audi
 GLA Class,2016,16999,Semi-Auto,20121,Diesel,30,64.2,2.1,merc
 Yeti Outdoor,2017,13998,Semi-Auto,16297,Petrol,125,51.4,1.2,skoda
 I20,2017,8990,Manual,13600,Petrol,30,55.4,1.2,hyundi
 3 Series,2018,22900,Semi-Auto,27800,Petrol,145,48.7,2.0,bmw
 Yaris,2017,12840,Automatic,23125,Hybrid,135,76.3,1.5,toyota
 A5,2020,38990,Semi-Auto,5000,Diesel,145,44.8,2.0,audi
 Kona,2017,14025,Manual,12515,Petrol,145,52.3,1.0,hyundi
 Superb,2019,26000,Semi-Auto,2566,Petrol,145,38.2,2.0,skoda
 4 Series,2017,19950,Manual,19506,Petrol,145,40.9,2.0,bmw
 C-HR,2019,22498,Automatic,8758,Hybrid,135,74.3,1.8,toyota
 A Class,2019,24480,Semi-Auto,9,Diesel,145,67.3,1.5,merc
 Fiesta,2013,6080,Manual,50083,Petrol,0,65.7,1.0,ford
 A1,2017,15698,Manual,16434,Petrol,145,70.6,1.4,audi
 GL Class,2016,17069,Automatic,35025,Diesel,125,56.5,2.1,merc
 Fiesta,2014,7291,Manual,23894,Petrol,30,54.3,1.2,ford
 A3,2019,22990,Manual,6000,Diesel,145,52.3,1.6,audi
 Fabia,2019,11499,Manual,2140,Petrol,145,51.4,1.0,skoda
 Q7,2019,46500,Automatic,11294,Diesel,145,32.8,3.0,audi
 A3,2016,20560,Semi-Auto,26860,Petrol,160,44.1,2.0,audi
 A Class,2018,17894,Semi-Auto,11578,Diesel,145,68.9,1.5,merc
 Aygo,2013,4970,Manual,39000,Petrol,0,65.7,1.0,toyota
 Focus,2018,17489,Manual,9028,Petrol,145,41.5,2.0,ford
 3 Series,2019,25940,Semi-Auto,7779,Diesel,150,53.3,2.0,bmw
 Fiesta,2018,10000,Manual,8236,Petrol,145,64.2,1.1,ford
 Ioniq,2018,17995,Automatic,9531,Hybrid,135,78.5,1.6,hyundi
 Fiesta,2019,12600,Manual,13767,Petrol,145,60.1,1.0,ford
 3 Series,2019,32398,Semi-Auto,2150,Petrol,145,42.2,2.0,bmw
 X3,2017,22000,Automatic,27385,Diesel,145,54.3,2.0,bmw
 Focus,2013,6499,Manual,41048,Petrol,20,58.9,1.0,ford
 Citigo,2015,6492,Automatic,18367,Petrol,20,64.2,1.0,skoda
 Yaris,2019,12990,Manual,2557,Petrol,145,47.9,1.5,toyota
 R8,2019,129000,Semi-Auto,4000,Petrol,145,21.4,5.2,audi
 Q2,2019,23888,Semi-Auto,5257,Diesel,145,46.3,1.6,audi
 Focus,2018,18760,Manual,12935,Petrol,145,41.5,2.0,ford
 Auris,2017,10490,Automatic,35000,Petrol,20,61.4,1.2,toyota
 A1,2015,9298,Manual,43440,Diesel,0,80.7,1.6,audi
 A6,2016,16190,Semi-Auto,69774,Diesel,145,55.4,2.0,audi
 Rapid,2017,10495,Manual,15000,Petrol,145,62.8,1.0,skoda
 Octavia,2019,15490,Manual,15372,Petrol,145,52.3,1.5,skoda
 CL Class,2016,20100,Automatic,16249,Diesel,20,67.3,2.1,merc
 EcoSport,2017,9900,Manual,10249,Petrol,125,53.3,1.0,ford
 Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6,hyundi
 SQ5,2014,22200,Automatic,40000,Diesel,260,41.5,3.0,audi
 Ioniq,2019,22491,Automatic,5500,Hybrid,135,78.5,1.6,hyundi
 4 Series,2019,26995,Manual,110,Petrol,145,46.3,2.0,bmw
 Kuga,2019,23995,Manual,6424,Diesel,145,37.7,2.0,ford
 4 Series,2018,21470,Automatic,40553,Petrol,145,41.5,3.0,bmw
 A8,2018,37970,Semi-Auto,7500,Diesel,145,50.4,3.0,audi
 Aygo,2016,8622,Automatic,18072,Petrol,0,67.0,1.0,toyota
 Kuga,2019,18495,Manual,11859,Diesel,145,54.3,1.5,ford
 E Class,2019,48900,Automatic,50,Petrol,145,32.1,3.0,merc
 A1,2016,10199,Manual,19356,Diesel,0,80.7,1.6,audi
 Octavia,2017,11994,Manual,30159,Diesel,145,67.3,1.6,skoda
 C Class,2019,32999,Semi-Auto,2373,Diesel,145,54.3,2.0,merc
 3 Series,2016,12761,Manual,34239,Diesel,20,72.4,2.0,bmw
 Santa Fe,2019,33999,Semi-Auto,6697,Diesel,150,39.2,2.2,hyundi
 Focus,2017,9800,Manual,33629,Diesel,145,74.3,1.5,ford
 Puma,2020,21000,Manual,1173,Petrol,150,50.4,1.0,ford
 Fiesta,2014,7990,Manual,37000,Petrol,145,47.9,1.6,ford
 EcoSport,2017,10995,Manual,21960,Petrol,150,53.3,1.0,ford
 E Class,2017,19395,Semi-Auto,22767,Diesel,145,72.4,2.0,merc
 C Class,2018,19056,Automatic,25833,Petrol,145,50.4,2.0,merc
 RAV4,2017,21990,Automatic,14562,Hybrid,20,57.6,2.5,toyota
 A6,2019,29000,Automatic,14,Diesel,145,47.9,2.0,audi
 Rapid,2017,9750,Manual,11550,Petrol,30,57.7,1.2,skoda
 GLC Class,2016,24498,Semi-Auto,16840,Diesel,125,56.5,2.1,merc
 A Class,2014,12900,Semi-Auto,45844,Diesel,20,68.9,2.1,merc
 TT,2020,53500,Semi-Auto,4000,Petrol,145,30.7,2.5,audi
 Octavia,2016,8695,Manual,42000,Diesel,0,74.3,1.6,skoda
 Yaris,2017,12995,Automatic,7292,Hybrid,0,86.0,1.5,toyota
 3 Series,2017,14498,Manual,24719,Diesel,150,67.3,2.0,bmw
 Focus,2019,17520,Manual,6852,Petrol,145,60.1,1.0,ford
 Q3,2019,26850,Manual,3811,Petrol,145,39.8,1.5,audi
 CL Class,2017,18289,Semi-Auto,26900,Diesel,125,58.9,2.1,merc
 Q3,2015,14699,Manual,27736,Diesel,145,56.5,2.0,audi
 C Class,2019,19899,Semi-Auto,13359,Petrol,145,46.3,1.5,merc
 I10,2019,8990,Manual,3000,Petrol,145,49.6,1.0,hyundi
 I10,2018,7658,Manual,13365,Petrol,145,60.1,1.0,hyundi
 X1,2016,18998,Semi-Auto,30434,Diesel,125,57.6,2.0,bmw
 1 Series,2014,15000,Manual,44514,Petrol,305,35.3,3.0,bmw
 Focus,2019,18690,Manual,3735,Petrol,145,48.7,1.0,ford
 Ka+,2018,9000,Manual,22974,Petrol,150,48.7,1.2,ford
 X5,2019,48892,Automatic,7666,Diesel,145,37.7,3.0,bmw
 Q3,2019,28450,Automatic,3878,Diesel,145,47.1,2.0,audi
 A6,2017,27990,Automatic,22631,Diesel,145,50.4,3.0,audi
 EcoSport,2019,15000,Manual,4500,Petrol,145,53.3,1.0,ford
 Fiesta,2017,10200,Manual,16039,Petrol,145,62.8,1.0,ford
 Ioniq,2016,13995,Automatic,51600,Hybrid,0,78.5,1.6,hyundi
 2 Series,2016,10170,Manual,32015,Diesel,20,74.3,1.5,bmw
 GLA Class,2014,16249,Semi-Auto,18086,Diesel,30,62.8,2.1,merc
 A1,2019,23950,Semi-Auto,5000,Petrol,145,44.1,1.0,audi
 Focus,2018,18498,Manual,21167,Diesel,145,67.3,2.0,ford
 C Class,2017,18899,Semi-Auto,27560,Diesel,20,64.2,2.1,merc
 Focus,2015,12991,Manual,49605,Diesel,20,67.3,2.0,ford
 C Class,2016,18600,Automatic,24836,Diesel,30,64.2,1.6,merc
 Fiesta,2018,10890,Manual,10255,Petrol,145,65.7,1.0,ford
 C-HR,2017,15998,Manual,29760,Petrol,145,47.1,1.2,toyota
 Fabia,2017,7299,Manual,39203,Petrol,20,58.8,1.0,skoda
 Kuga,2017,13899,Manual,33606,Diesel,125,60.1,2.0,ford
 Focus,2016,10000,Manual,30208,Petrol,20,60.1,1.0,ford
 C Class,2019,28480,Semi-Auto,15160,Petrol,145,44.1,1.5,merc
 Fiesta,2016,10500,Manual,27958,Petrol,0,65.7,1.0,ford
 Q3,2016,18000,Manual,23275,Diesel,145,52.3,2.0,audi
 4 Series,2019,24975,Semi-Auto,5866,Diesel,145,65.7,2.0,bmw
 Yeti Outdoor,2017,10790,Automatic,59313,Petrol,125,51.4,1.2,skoda
 E Class,2016,16295,Semi-Auto,48807,Diesel,125,56.5,2.1,merc
 Q5,2009,8995,Automatic,95000,Diesel,290,37.6,3.0,audi
 Fiesta,2014,5770,Manual,57530,Diesel,0,76.4,1.5,ford
 Fiesta,2016,11499,Manual,19436,Petrol,145,47.9,1.6,ford
 Kuga,2018,16599,Manual,21517,Diesel,145,54.3,2.0,ford
 Fiesta,2018,15000,Manual,15026,Petrol,145,55.4,1.0,ford
 Q7,2018,51000,Automatic,11858,Diesel,145,32.1,3.0,audi
 Focus,2013,5999,Manual,62021,Diesel,20,67.3,1.6,ford
 5 Series,2017,27152,Semi-Auto,66068,Diesel,145,51.4,3.0,bmw
 A1,2015,11850,Manual,41000,Petrol,30,55.4,1.4,audi
 Fiesta,2018,11990,Manual,6952,Petrol,145,65.7,1.0,ford
 C Class,2017,18495,Semi-Auto,18758,Petrol,150,50.4,2.0,merc
 Ka+,2018,9691,Manual,11881,Petrol,145,43.5,1.2,ford
 Fabia,2017,8795,Manual,13085,Diesel,145,70.6,1.4,skoda
 2 Series,2019,21980,Semi-Auto,5936,Petrol,145,50.4,2.0,bmw
 EcoSport,2017,9985,Manual,27400,Petrol,145,52.3,1.0,ford
 A Class,2018,18990,Semi-Auto,12449,Petrol,145,53.3,1.3,merc
 Q3,2019,30000,Automatic,3033,Petrol,150,38.2,1.5,audi
 Focus,2019,16495,Manual,7820,Petrol,145,60.1,1.0,ford
 A1,2015,10198,Manual,36910,Petrol,0,67.3,1.0,audi
 Focus,2019,27000,Manual,9737,Petrol,145,34.5,2.3,ford
 Grand C-MAX,2017,10499,Semi-Auto,10295,Diesel,30,58.9,1.5,ford
 3 Series,2016,18656,Semi-Auto,41200,Diesel,150,53.3,3.0,bmw
 Kuga,2017,16500,Manual,27429,Diesel,145,60.1,2.0,ford
 A4,2017,21781,Semi-Auto,25145,Petrol,145,52.3,2.0,audi
 Focus,2018,13899,Manual,14563,Diesel,145,80.7,1.5,ford
 C-MAX,2013,5391,Manual,75106,Petrol,165,42.8,1.6,ford
 Fabia,2019,12495,Manual,4521,Petrol,145,61.4,1.0,skoda
 Z3,1999,3995,Manual,51949,Petrol,255,35.3,1.9,bmw
 I10,2011,3599,Manual,56902,Petrol,20,61.4,1.2,hyundi
 Fiesta,2015,8498,Manual,6649,Petrol,125,54.3,1.2,ford
 Q5,2018,40892,Semi-Auto,19444,Petrol,145,34.0,3.0,audi
 Corolla,2019,25570,Automatic,3196,Hybrid,135,72.4,2.0,toyota
 X1,2019,22450,Manual,5455,Petrol,150,39.8,1.5,bmw
 I40,2016,8731,Manual,56001,Diesel,20,67.3,1.7,hyundi
 Fabia,2019,12495,Manual,5000,Petrol,145,52.3,1.0,skoda
 A1,2019,22000,Semi-Auto,7500,Petrol,150,40.9,2.0,audi
 Fiesta,2018,9750,Manual,9768,Petrol,145,64.2,1.1,ford
 X1,2016,15994,Manual,24984,Diesel,125,58.9,2.0,bmw
 Fiesta,2017,12000,Semi-Auto,18104,Petrol,145,54.3,1.0,ford
 Focus,2017,11700,Manual,39093,Petrol,145,51.4,1.5,ford
 3 Series,2017,11499,Manual,66488,Diesel,20,68.9,2.0,bmw
 Mondeo,2019,19400,Manual,5753,Diesel,145,65.7,2.0,ford
 3 Series,2019,34700,Semi-Auto,6006,Diesel,145,49.6,2.0,bmw
 A5,2019,26000,Automatic,6100,Diesel,145,50.4,2.0,audi
 A1,2019,19990,Manual,2348,Petrol,145,50.4,1.0,audi
 C Class,2017,16991,Semi-Auto,29907,Diesel,145,64.2,2.1,merc
 SL CLASS,2016,17698,Semi-Auto,39820,Diesel,30,70.6,2.1,merc
 SLK,2014,14900,Automatic,40230,Diesel,150,56.5,3.0,merc
 X1,2016,16000,Manual,20737,Diesel,125,60.1,2.0,bmw
 X3,2019,36440,Semi-Auto,105,Diesel,145,54.3,2.0,bmw
 A3,2014,13299,Manual,24003,Petrol,30,54.3,1.4,audi
 KA,2016,7495,Manual,27003,Petrol,145,57.7,1.2,ford
 C Class,2015,10700,Automatic,62439,Diesel,150,53.3,2.1,merc
 Fiesta,2015,6950,Manual,25559,Petrol,125,54.3,1.2,ford
 E Class,2017,18499,Semi-Auto,45463,Diesel,20,67.3,2.0,merc
 KA,2019,10999,Manual,2889,Petrol,145,43.5,1.2,ford
 Tucson,2019,17980,Semi-Auto,8492,Petrol,145,36.2,1.6,hyundi
 3 Series,2017,20499,Automatic,14500,Hybrid,0,134.5,2.0,bmw
 Fiesta,2018,10498,Manual,9104,Petrol,150,55.4,1.1,ford
 Auris,2016,8995,Manual,23000,Diesel,20,67.3,1.6,toyota
 Karoq,2018,16480,Manual,22749,Petrol,150,52.3,1.5,skoda
 Fabia,2017,7270,Manual,18268,Petrol,145,57.7,1.0,skoda
 4 Series,2019,24390,Semi-Auto,6018,Petrol,145,45.6,2.0,bmw
 Aygo,2018,8300,Manual,12691,Petrol,145,68.9,1.0,toyota
 Kuga,2017,15000,Manual,24587,Petrol,150,45.6,1.5,ford
 5 Series,2013,11850,Automatic,65359,Diesel,125,57.6,2.0,bmw
 C-MAX,2016,10295,Manual,29992,Petrol,30,55.4,1.0,ford
 Kona,2019,14490,Manual,4131,Petrol,145,44.1,1.0,hyundi
 Focus,2017,16899,Manual,16222,Diesel,145,67.3,2.0,ford
 Tucson,2017,14924,Semi-Auto,27080,Diesel,125,57.6,1.7,hyundi
 3 Series,2019,30950,Semi-Auto,7586,Petrol,145,41.5,2.0,bmw
 Focus,2017,17252,Manual,15834,Petrol,145,41.5,2.0,ford
 5 Series,2013,8500,Automatic,100400,Diesel,125,57.6,2.0,bmw
 A5,2018,22990,Automatic,16700,Petrol,145,52.3,1.4,audi
 C-HR,2017,15991,Manual,9103,Petrol,145,47.1,1.2,toyota
 Fiesta,2017,8000,Manual,25219,Petrol,145,54.3,1.2,ford
 Fiesta,2018,9900,Manual,29626,Petrol,145,65.7,1.0,ford
 Kuga,2014,9970,Automatic,67401,Diesel,205,45.6,2.0,ford
 B Class,2019,22999,Semi-Auto,4355,Diesel,145,55.4,2.0,merc
 Grand C-MAX,2017,11500,Manual,29881,Petrol,30,54.3,1.0,ford
 Aygo,2016,6572,Manual,19979,Petrol,0,69.0,1.0,toyota
 4 Series,2016,17600,Automatic,20444,Diesel,30,65.7,2.0,bmw
 X4,2020,43000,Semi-Auto,857,Diesel,145,40.9,3.0,bmw
 A1,2017,14490,Manual,14723,Petrol,150,55.4,1.4,audi
 Superb,2019,31490,Automatic,2512,Diesel,145,47.1,2.0,skoda
 A Class,2019,22399,Semi-Auto,4122,Diesel,145,56.5,2.0,merc
 Focus,2010,2995,Manual,88000,Petrol,205,42.2,1.6,ford
 GLA Class,2015,19699,Semi-Auto,10651,Diesel,125,55.4,2.1,merc
 Yaris,2018,12995,Automatic,14274,Petrol,150,47.1,1.5,toyota
 1 Series,2017,16990,Manual,32000,Diesel,30,62.8,2.0,bmw
 A Class,2019,21291,Semi-Auto,13361,Diesel,145,67.3,1.5,merc
 A1,2016,12999,Manual,31617,Petrol,30,56.5,1.4,audi
 Octavia,2008,1500,Manual,110265,Diesel,145,54.3,1.9,skoda
 Aygo,2018,9995,Manual,5441,Petrol,150,56.5,1.0,toyota
 Yaris,2016,8200,Manual,32190,Petrol,30,58.0,1.3,toyota
 Kuga,2017,15500,Manual,18400,Diesel,150,54.3,2.0,ford
 Yaris,2015,7495,Manual,41629,Petrol,30,55.0,1.3,toyota
 Focus,2019,27995,Manual,7725,Petrol,145,34.5,2.3,ford
 S-MAX,2016,15671,Manual,30457,Diesel,125,56.5,2.0,ford
 Santa Fe,2019,32570,Semi-Auto,9923,Diesel,145,39.2,2.2,hyundi
 E Class,2019,32900,Automatic,3646,Diesel,150,57.7,2.0,merc
 Kuga,2017,16698,Manual,16500,Diesel,145,64.2,1.5,ford
 Auris,2016,12500,Automatic,56680,Hybrid,0,70.6,1.8,toyota
 Yeti,2016,13000,Semi-Auto,16784,Petrol,125,51.4,1.2,skoda
 Q5,2018,25999,Automatic,25531,Petrol,145,40.9,2.0,audi
 C Class,2008,5875,Automatic,70000,Petrol,305,34.5,1.8,merc
 A3,2008,2995,Manual,136000,Diesel,205,48.7,2.0,audi
 Yaris,2018,12990,Automatic,17303,Hybrid,140,76.3,1.5,toyota
 A Class,2016,14521,Manual,35005,Diesel,30,62.8,2.1,merc
 A Class,2019,23999,Automatic,5999,Petrol,145,47.9,1.3,merc
 GLE Class,2016,37490,Automatic,31500,Petrol,325,31.7,3.0,merc
 C Class,2019,24780,Semi-Auto,13539,Diesel,145,61.4,2.0,merc
 Mondeo,2020,21500,Manual,23,Diesel,145,62.8,2.0,ford
 Ka+,2017,6999,Manual,25088,Petrol,145,57.7,1.2,ford
 Grand C-MAX,2016,10490,Manual,26985,Petrol,30,54.3,1.0,ford
 Focus,2019,19498,Automatic,6621,Diesel,145,64.2,2.0,ford
 A Class,2019,22699,Semi-Auto,3561,Diesel,145,65.7,1.5,merc
 3 Series,2017,21299,Automatic,19351,Diesel,145,51.4,3.0,bmw
 3 Series,2011,4994,Manual,112000,Diesel,30,62.8,2.0,bmw
 Fiesta,2018,9591,Manual,18847,Petrol,150,65.7,1.0,ford
 1 Series,2016,12556,Manual,39726,Diesel,20,72.4,1.5,bmw
 Focus,2013,6995,Automatic,53200,Petrol,165,44.1,1.6,ford
 A Class,2018,19890,Semi-Auto,13693,Petrol,150,53.3,1.3,merc
 Q7,2017,33990,Automatic,44691,Diesel,200,47.9,3.0,audi
 Yeti,2017,14495,Automatic,10700,Petrol,125,51.4,1.2,skoda
 Auris,2017,15995,Automatic,27351,Hybrid,140,78.5,1.8,toyota
